names,couple_number,judge_enrique,judge_main_gloria,judge_lita,judge_daniela,judge_cesar,total_score,qualified
Christian Carrión y Veronika Drozen,269,6,4,6,6,6,28,1
Gabriel Ramos y Rosa María Vilcapoma Hilario,270,5,4,4,4,4,21,0
Juan Carlos Peralta y María Pizango ,271,5,5,5,4,5,24,0
Freddy Pastor y Lesly L. Mendoza ,272,6,6,6,6,6,30,1
Eduardo M. Revilla y Claudia N. Mendoza ,273,6,6,7,6,6,31,1
Nilton Cárdenas y Rocío Núñez ,274,6,4,6,5,5,26,1
Federico Torres y Lesly Gaona ,275,5,5,6,5,5,26,1
Juan Carlos Luna y Karina Rosas ,276,5,4,5,4,4,22,0
Carlos Sampen y Karla Tantalean ,277,5,4,5,4,4,22,0
Alberto Moreno y Angelica Mora ,278,6,4,6,4,5,25,0
Mario Samuel Castillo y Lissette Elizabeth ,279,6,6,6,6,6,30,1
